miRNA,182_S25_R1_001,112_S27_R1_001,15-7p150_S32_R1_001,192_S22_R1_001,15-1p16_S33_R1_001,121_S24_R1_001,153_S15_R1_001,124_S16_R1_001,166_S4_R1_001,059_S13_R1_001,167_S23_R1_001,149_S3_R1_001,093_S6_R1_001,144_S5_R1_001,062_S19_R1_001,179_S26_R1_001,138_S30_R1_001,033_S21_R1_001,6c_S47_R1_001,123_S20_R1_001,1c_S43_R1_001,29-7p16_S41_R1_001,Undetermined_S0_R1_001,197_S2_R1_001,15-7p16_S31_R1_001,29-1p16_S39_R1_001,17-7p150_S38_R1_001,109_S9_R1_001,187_S10_R1_001,105_S1_R1_001,15-1p150_S34_R1_001,29-7p150_S42_R1_001,17-1p150_S36_R1_001,17-7p16_S37_R1_001,127_S29_R1_001,164_S14_R1_001,075_S12_R1_001,135_S7_R1_001,17-1p16_S35_R1_001,019_S18_R1_001,125_S11_R1_001,106_S28_R1_001,7c_S44_R1_001,32c_S45_R1_001,29-1p150_S40_R1_001,4c_S46_R1_001,103_S17_R1_001,34c_S48_R1_001,128_S8_R1_001
Hsa-Mir-139_3p,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,93.0,0.0,12.0,0.0,0.0,16.0,0.0,6.0,418.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0,39.0,0.0,0.0,0.0,49.0,0.0,10.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0
Hsa-Mir-139_5p,23.0,34.0,68.0,64.0,82.0,96.0,36.0,21.0,4.0,52.0,15.0,21.0,35.0,44.0,62.0,93.0,44.0,190.0,3719.0,63.0,31.0,87.0,92.0,74.0,355.0,36.0,4.0,29.0,32.0,37.0,90.0,0.0,21.0,141.0,14.0,25.0,0.0,24.0,62.0,0.0,55.0,0.0,448.0,42.0,12.0,0.0,44.0,209.0,34.0
Hsa-Mir-140_3p,14735.0,42336.0,7862.0,38317.0,2100.0,36018.0,26605.0,32612.0,28150.0,44156.0,68620.0,33904.0,25015.0,26471.0,44872.0,41555.0,57598.0,31470.0,10705.0,34692.0,6792.0,920.0,18959.0,36941.0,5720.0,390.0,1617.0,43996.0,19524.0,22275.0,6664.0,1073.0,2093.0,3837.0,9541.0,30995.0,18318.0,33087.0,2238.0,22350.0,26906.0,65930.0,14397.0,870.0,675.0,319.0,27313.0,18831.0,38393.0
Hsa-Mir-140_5p*,107.0,82.0,0.0,96.0,20.0,3.0,14.0,16.0,13.0,65.0,0.0,42.0,51.0,29.0,82.0,88.0,123.0,70.0,294.0,62.0,61.0,7.0,39.0,0.0,0.0,2.0,0.0,57.0,0.0,31.0,59.0,0.0,6.0,101.0,0.0,7.0,0.0,50.0,51.0,59.0,59.0,2.0,241.0,0.0,0.0,0.0,36.0,63.0,50.0
Hsa-Mir-142_3p*,1213.0,6089.0,561.0,6645.0,1699.0,5917.0,1880.0,2243.0,2067.0,2803.0,6332.0,2231.0,1368.0,1897.0,7693.0,5565.0,6136.0,3780.0,1905.0,4892.0,1384.0,646.0,1635.0,2955.0,2655.0,223.0,167.0,4151.0,1267.0,3234.0,808.0,137.0,205.0,2324.0,1062.0,1966.0,650.0,2059.0,1177.0,2761.0,2144.0,1989.0,1980.0,42.0,88.0,651.0,3653.0,529.0,3592.0
Hsa-Mir-142_5p,63896.0,304264.0,29582.0,303708.0,34283.0,201748.0,173897.0,222283.0,172520.0,239758.0,223753.0,226204.0,127040.0,112307.0,280130.0,312434.0,426629.0,255173.0,56935.0,305945.0,72295.0,11335.0,114133.0,167560.0,46423.0,3609.0,13495.0,242273.0,143231.0,116337.0,73005.0,6876.0,14155.0,48967.0,31922.0,165889.0,11977.0,199280.0,26299.0,125209.0,118980.0,54402.0,140902.0,3311.0,3514.0,4115.0,203438.0,138209.0,203586.0
Hsa-Mir-143_3p,20611.0,83325.0,64750.0,65919.0,10107.0,137320.0,62851.0,53706.0,68203.0,48002.0,188784.0,114422.0,29818.0,18870.0,26566.0,130696.0,38912.0,46181.0,415746.0,54732.0,584505.0,3278.0,89742.0,112964.0,31431.0,825.0,6259.0,65541.0,90134.0,71330.0,17432.0,2747.0,10167.0,17662.0,28485.0,117433.0,62782.0,29996.0,7202.0,145699.0,95376.0,706676.0,1624239.0,13387.0,1556.0,3960.0,60239.0,289009.0,30341.0
Hsa-Mir-143_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,24.0,0.0
Hsa-Mir-144_3p*,7690.0,59475.0,4355.0,41326.0,3501.0,29391.0,20709.0,55495.0,29957.0,49939.0,15789.0,16507.0,36944.0,23211.0,44841.0,26488.0,64732.0,35272.0,26713.0,46106.0,23462.0,1634.0,17406.0,24161.0,4726.0,690.0,1523.0,52732.0,17230.0,29338.0,7385.0,1341.0,1082.0,5493.0,2902.0,17379.0,868.0,32438.0,2986.0,44013.0,21721.0,506.0,36455.0,342.0,1699.0,474.0,47427.0,7810.0,60496.0
Hsa-Mir-144_5p,5556.0,29846.0,3920.0,25226.0,3388.0,17082.0,18588.0,28889.0,21995.0,30654.0,14092.0,19222.0,16378.0,13971.0,23110.0,19918.0,31162.0,23493.0,23769.0,22841.0,25709.0,1331.0,11436.0,21474.0,8425.0,481.0,1143.0,30084.0,11430.0,13569.0,3632.0,835.0,723.0,6394.0,1845.0,14826.0,599.0,19325.0,2181.0,19660.0,16965.0,475.0,61254.0,283.0,647.0,2051.0,26571.0,14826.0,30512.0
